Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
27-05-2019,AXISBANK,EQ,793.2,794,816.4,787.2,814,813.9,804.17,9128216,7.3406E+14,120198,4149897,0.4546
28-05-2019,AXISBANK,EQ,813.9,816.3,822.1,801,808,808.4,809.32,13473187,1.09042E+15,207712,7643885,0.5673
29-05-2019,AXISBANK,EQ,808.4,806.75,813,802.1,802.65,804.7,806.27,5958128,4.80384E+14,107154,2687836,0.4511
30-05-2019,AXISBANK,EQ,804.7,803.25,814.2,803.25,808.75,807.55,808.62,6414384,5.18677E+14,100377,2949048,0.4598
31-05-2019,AXISBANK,EQ,807.55,811,818.7,793.2,811,808.3,810.89,11140585,9.03379E+14,133429,6461987,0.58
03-06-2019,AXISBANK,EQ,808.3,813.55,814.65,803.1,813,812.65,808.93,6427567,5.19948E+14,123928,3445276,0.536
04-06-2019,AXISBANK,EQ,812.65,807.55,827.75,805.5,823.9,822.8,818.36,9515354,7.787E+14,139685,3786856,0.398
06-06-2019,AXISBANK,EQ,822.8,824,825.95,805.8,811.1,807.7,815.75,14728937,1.20151E+15,176099,8946487,0.6074
07-06-2019,AXISBANK,EQ,807.7,811.1,813.25,801.3,804,804,806.59,6884094,5.55265E+14,120625,3143949,0.4567
10-06-2019,AXISBANK,EQ,804,807.4,816.75,807.4,815,814.15,811.78,5923875,4.8089E+14,90022,2679641,0.4523
11-06-2019,AXISBANK,EQ,814.15,817.15,821.45,807,815.2,814.8,814.67,5471529,4.45751E+14,102606,2789810,0.5099
12-06-2019,AXISBANK,EQ,814.8,814.05,815.75,809.1,815.75,813.55,811.77,4707478,3.82138E+14,100246,2082894,0.4425
13-06-2019,AXISBANK,EQ,813.55,811.25,823.4,810.75,822.25,820.15,817.42,9056584,7.40307E+14,101941,5424511,0.599
14-06-2019,AXISBANK,EQ,820.15,820.1,823.1,797.45,801.25,801.2,810.53,8919370,7.22939E+14,122917,4863287,0.5453
17-06-2019,AXISBANK,EQ,801.2,800.1,801,775.1,780.9,777.7,783.64,10151212,7.95494E+14,171883,5456338,0.5287
18-06-2019,AXISBANK,EQ,777.7,781.95,784.85,770.1,775.1,775.75,778.57,8347632,6.4992E+14,157966,4325495,0.5071
19-06-2019,AXISBANK,EQ,775.75,780.8,789,763.35,773.2,770.7,778.98,6411258,4.99424E+14,104647,2137920,0.3335
20-06-2019,AXISBANK,EQ,770.7,772,775.45,758.85,771.5,771.4,766.07,9190732,7.04073E+14,181863,5064279,0.551
21-06-2019,AXISBANK,EQ,771.4,774.75,778.25,762.8,770,771.05,770.38,12610688,9.71505E+14,155373,8135075,0.6451
24-06-2019,AXISBANK,EQ,771.05,771,775.25,761,762.6,762.85,766.74,4866859,3.73163E+14,106040,2189822,0.4499
25-06-2019,AXISBANK,EQ,762.85,761.25,783,756.55,780.1,781.65,771.01,10044436,7.74436E+14,199156,5020148,0.4998
26-06-2019,AXISBANK,EQ,781.65,782.9,792,781.7,787.8,788.6,788.49,8715757,6.87226E+14,144238,3556341,0.408
27-06-2019,AXISBANK,EQ,788.6,788.95,806.85,781.6,800.5,800.45,798.26,18439210,1.47193E+15,213352,8413740,0.4563
28-06-2019,AXISBANK,EQ,800.45,801.15,812.9,793.3,809.75,808.55,804.75,9174348,7.38309E+14,130644,3419593,0.3727
